iter	Logloss
129	0.4303295516
130	0.4299069561
131	0.4294124653
132	0.4290630299
133	0.4286713028
134	0.4283354302
135	0.4279773924
136	0.4276796526
137	0.4273173659
138	0.4270357934
139	0.4266824832
140	0.4263855167
141	0.4260544101
142	0.4257021832
143	0.4254244352
144	0.4251116504
145	0.4248242885
146	0.4245572956
147	0.4241964909
148	0.4239289475
149	0.4236859459
150	0.4234533223
151	0.4231794945
152	0.422873433
153	0.4225309333
154	0.4223938214
155	0.4221222744
156	0.421805099
157	0.4215389253
158	0.4212947457
159	0.4210243472
160	0.4207496251
161	0.4204838356
162	0.4202926006
163	0.42004624
164	0.4198251141
165	0.4195942175
166	0.4193645708
167	0.4191270862
168	0.4187902565
169	0.4185716954
170	0.4182842818
171	0.4181002733
172	0.4178752989
173	0.4176571136
174	0.4174177351
175	0.4172036972
176	0.4169870338
177	0.4168115033
178	0.4165967559
179	0.4163572828
180	0.4161626634
181	0.4159565108
182	0.4157676305
183	0.4155070192
184	0.4152570283
185	0.4150611043
186	0.4148763499
187	0.4146865738
188	0.4144959618
189	0.4143101336
190	0.4140887746
191	0.4139794453
192	0.4137865053
193	0.4135774044
194	0.4133459654
195	0.4131724648
196	0.4130053317
197	0.4128411204
198	0.4126958882
199	0.4124889045
200	0.4123239537
201	0.4121320685
202	0.4119496353
203	0.411809718
204	0.4116617357
205	0.4114788316
206	0.4112923214
207	0.4110606668
208	0.4109008139
209	0.4106264795
210	0.4104715278
211	0.4103300553
212	0.4101326153
213	0.4099596687
214	0.4098658281
215	0.4097551482
216	0.4095689995
217	0.4094321462
218	0.4092808694
219	0.4091415907
220	0.4090615849
221	0.4089161709
222	0.4087949582
223	0.4086558308
224	0.4084629937
225	0.4082773696
226	0.4081468096
227	0.4080130405
228	0.407824786
229	0.4077266376
230	0.4075800739
231	0.4074075373
232	0.4072799604
233	0.4071588588
234	0.4069984151
235	0.406914299
236	0.4067796607
237	0.4066249618
238	0.4064865429
239	0.4063526306
240	0.4062281492
241	0.4060851993
242	0.4059547027
243	0.405824869
244	0.4056629386
245	0.4055295622
246	0.4053911178
247	0.4052629819
248	0.4051544827
249	0.4050556573
250	0.4049650334
251	0.4047999903
252	0.4046587601
253	0.4045551723
254	0.4044426377
255	0.4043310871
256	0.4042195065
257	0.4040701326
258	0.4039397483
259	0.4038736976
260	0.4037555501
261	0.4036151488
262	0.4034946549
263	0.4034020914
264	0.4032891792
265	0.4031696893
266	0.4030493027
267	0.4029584534
268	0.4028021118
269	0.4027235638
270	0.4026339293
271	0.4025666086
272	0.4024448801
273	0.402314129
274	0.4022180052
275	0.4021444595
276	0.401996609
277	0.4019059803
278	0.4018039239
279	0.4016723117
280	0.401555638
281	0.4014490646
282	0.4013661354
283	0.4012666433
284	0.401104989
285	0.4010225336
286	0.4009140569
287	0.4008131107
288	0.4007128815
289	0.4005987667
290	0.4004790837
291	0.4004299846
292	0.4003008499
293	0.4002361316
294	0.400162012
295	0.4001288986
296	0.4000660976
297	0.3999423381
298	0.3998334242
299	0.3996896234
300	0.3995881757
301	0.3994969853
302	0.3994235466
303	0.3993312
304	0.3992423968
305	0.3991433052
306	0.3990541165
307	0.3989582783
308	0.3988293261
309	0.3987168101
310	0.3985817993
311	0.3985139991
312	0.39845062
313	0.3983623227
314	0.3983087049
315	0.3982565351
316	0.3981329095
317	0.3980609818
318	0.3979667089
319	0.3978486158
320	0.3977665131
321	0.3976887696
322	0.3976375822
323	0.3975524615
324	0.3974709148
325	0.3973725823
326	0.3972595752
327	0.3971730412
328	0.3970738439
329	0.3969878042
330	0.3969253632
331	0.3968417383
332	0.3967117874
333	0.3966541558
334	0.3965759139
335	0.3964855799
336	0.3963645365
337	0.3962615692
338	0.3961329097
339	0.3960454793
340	0.3959163007
341	0.3958514398
342	0.3957673564
343	0.3957162595
344	0.3956380048
345	0.3955661109
346	0.3955148601
347	0.3954380022
348	0.395331205
349	0.3952365345
350	0.395186777
351	0.3951208796
352	0.3950349387
353	0.3949694157
354	0.3948994227
355	0.3947923997
356	0.3947262398
357	0.3946448517
358	0.3945820847
359	0.3945237681
360	0.3944850476
361	0.3943850593
362	0.3943440532
363	0.3942993836
364	0.3942085263
365	0.3941294818
366	0.3940344498
367	0.3939734824
368	0.3939062225
369	0.3938545647
370	0.3938098375
371	0.3937737478
372	0.3937085494
373	0.3936247608
374	0.3935395655
375	0.3934575983
376	0.393359901
377	0.3933242681
378	0.3932778665
379	0.3932222863
380	0.3931314926
381	0.3930735828
382	0.3929961091
383	0.3929248907
384	0.3928566576
385	0.3928158248
386	0.392730854
387	0.3926738927
388	0.3926023402
389	0.3925035056
390	0.3924579024
391	0.3923668107
392	0.3923273936
393	0.3922522515
394	0.3921489106
395	0.3921021649
396	0.3920556963
397	0.3920063132
398	0.3919361624
399	0.391864744
400	0.3917664524
401	0.391726563
402	0.3915445024
403	0.3914159761
404	0.3913506044
405	0.3912814444
406	0.3912024553
407	0.3911184708
408	0.3910416498
409	0.3909679944
410	0.3909043538
411	0.3908098609
412	0.3907457352
413	0.390687909
414	0.3906397166
415	0.3906015766
416	0.3905385954
417	0.3904577197
418	0.3903616154
419	0.3903224894
420	0.3902703425
421	0.3901688813
422	0.3901334717
423	0.390068907
424	0.3900186078
425	0.389953551
426	0.3898995444
427	0.3898190131
428	0.3897402954
429	0.3897072461
430	0.3896482913
431	0.3895922513
432	0.3895067718
433	0.3894396549
434	0.3894112382
435	0.3893821251
436	0.3893040818
437	0.3891929978
438	0.3891440827
439	0.3890947756
440	0.3890293846
441	0.3889795848
442	0.3889309102
443	0.3888728594
444	0.3888219774
445	0.388761285
446	0.3886857165
447	0.3886364327
448	0.388561418
449	0.3885142799
450	0.3884583195
451	0.3883813768
452	0.3882745098
453	0.3882016793
454	0.3881311733
455	0.3880212871
456	0.3879864789
457	0.3879344722
458	0.3878203786
459	0.3877398836
460	0.3876537743
461	0.3875913076
462	0.3875366155
463	0.3874966356
464	0.3874507722
465	0.3873931961
466	0.3873492002
467	0.3872416588
468	0.3871944784
469	0.3871093163
470	0.387057566
471	0.3869611367
472	0.3869212502
473	0.3868781305
474	0.3868428865
475	0.3867851328
476	0.3867007866
477	0.3866339428
478	0.3865177556
479	0.3864218577
480	0.3863654766
481	0.3862682517
482	0.3861935214
483	0.38614057
484	0.3860711603
485	0.3860297308
486	0.3859463195
487	0.3858839999
488	0.3858439431
489	0.3857838503
490	0.3857457644
491	0.3857082306
492	0.3856555969
493	0.3855862076
494	0.3855266468
495	0.385480818
496	0.3854444782
497	0.3853569191
498	0.3853107824
499	0.3852877149
